"","File.Name","Sample","Date","Subject","PlateWell","PlateRow","PlateColumn","Position","FileIndex","HeartLocation","runCol","MedianIntensity","TotalIds"
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D18_BD19_1_7767.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D18_BD19_1_7767.d","221024_Subject-04_CMs_Subject4_D_Lvendo_D18_BD19_1_7767.d",2022-10-24,"Subject4","D18","D","18","BD19","7767","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_D18_BD19_1_7767.d",13.5811710927596,1896
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E13_BE14_1_7782.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E13_BE14_1_7782.d","221024_Subject-04_CMs_Subject4_D_Lvendo_E13_BE14_1_7782.d",2022-10-24,"Subject4","E13","E","13","BE14","7782","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E13_BE14_1_7782.d",14.0959202915091,2530
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E14_BE15_1_7783.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E14_BE15_1_7783.d","221024_Subject-04_CMs_Subject4_D_Lvendo_E14_BE15_1_7783.d",2022-10-24,"Subject4","E14","E","14","BE15","7783","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E14_BE15_1_7783.d",13.8191512347917,1919
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E15_BE16_1_7784.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E15_BE16_1_7784.d","221024_Subject-04_CMs_Subject4_D_Lvendo_E15_BE16_1_7784.d",2022-10-24,"Subject4","E15","E","15","BE16","7784","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E15_BE16_1_7784.d",13.348277220828,2232
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E16_BE17_1_7785.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E16_BE17_1_7785.d","221024_Subject-04_CMs_Subject4_D_Lvendo_E16_BE17_1_7785.d",2022-10-24,"Subject4","E16","E","16","BE17","7785","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E16_BE17_1_7785.d",13.9699530546524,1963
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E17_BE18_1_7786.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E17_BE18_1_7786.d","221024_Subject-04_CMs_Subject4_D_Lvendo_E17_BE18_1_7786.d",2022-10-24,"Subject4","E17","E","17","BE18","7786","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E17_BE18_1_7786.d",13.4454416921178,2040
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E18_BE19_1_7787.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E18_BE19_1_7787.d","221024_Subject-04_CMs_Subject4_D_Lvendo_E18_BE19_1_7787.d",2022-10-24,"Subject4","E18","E","18","BE19","7787","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E18_BE19_1_7787.d",13.7283290612642,1952
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F14_BF15_1_7799.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F14_BF15_1_7799.d","221024_Subject-04_CMs_Subject4_D_Lvendo_F14_BF15_1_7799.d",2022-10-24,"Subject4","F14","F","14","BF15","7799","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F14_BF15_1_7799.d",13.9978322162828,2053
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F15_BF16_1_7800.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F15_BF16_1_7800.d","221024_Subject-04_CMs_Subject4_D_Lvendo_F15_BF16_1_7800.d",2022-10-24,"Subject4","F15","F","15","BF16","7800","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F15_BF16_1_7800.d",13.5665117347701,1908
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F16_BF17_1_7801.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F16_BF17_1_7801.d","221024_Subject-04_CMs_Subject4_D_Lvendo_F16_BF17_1_7801.d",2022-10-24,"Subject4","F16","F","16","BF17","7801","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F16_BF17_1_7801.d",13.9223335258909,1961
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F17_RH9_1_7802.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F17_RH9_1_7802.d","221024_Subject-04_CMs_Subject4_D_Lvendo_F17_RH9_1_7802.d",2022-10-24,"Subject4","F17","F","17","RH9","7802","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F17_RH9_1_7802.d",13.8157834991689,2396
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G15_BG17_1_7835.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G15_BG17_1_7835.d","221024_Subject-04_CMs_Subject4_D_Lvendo_G15_BG17_1_7835.d",2022-10-24,"Subject4","G15","G","15","BG17","7835","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G15_BG17_1_7835.d",13.5084509369588,1136
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G17_BG20_1_7836.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G17_BG20_1_7836.d","221024_Subject-04_CMs_Subject4_D_Lvendo_G17_BG20_1_7836.d",2022-10-24,"Subject4","G17","G","17","BG20","7836","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G17_BG20_1_7836.d",13.7269950806936,2401
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H13_BH15_1_7845.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H13_BH15_1_7845.d","221024_Subject-04_CMs_Subject4_D_Lvendo_H13_BH15_1_7845.d",2022-10-24,"Subject4","H13","H","13","BH15","7845","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H13_BH15_1_7845.d",13.707875518909,2020
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H15_BH16_1_7846.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H15_BH16_1_7846.d","221024_Subject-04_CMs_Subject4_D_Lvendo_H15_BH16_1_7846.d",2022-10-24,"Subject4","H15","H","15","BH16","7846","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H15_BH16_1_7846.d",13.8768334606212,2325
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H16_BH17_1_7847.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H16_BH17_1_7847.d","221024_Subject-04_CMs_Subject4_D_Lvendo_H16_BH17_1_7847.d",2022-10-24,"Subject4","H16","H","16","BH17","7847","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H16_BH17_1_7847.d",13.210858485529,758
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H17_BH19_1_7848.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H17_BH19_1_7848.d","221024_Subject-04_CMs_Subject4_D_Lvendo_H17_BH19_1_7848.d",2022-10-24,"Subject4","H17","H","17","BH19","7848","Lvendo","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H17_BH19_1_7848.d",13.5445166093228,624
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A19_BA2_1_7709.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A19_BA2_1_7709.d","221024_Subject-04_CMs_Subject4_D_Lvepi_A19_BA2_1_7709.d",2022-10-24,"Subject4","A19","A","19","BA2","7709","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A19_BA2_1_7709.d",13.4959671168334,628
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A20_BA24_1_7711.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A20_BA24_1_7711.d","221024_Subject-04_CMs_Subject4_D_Lvepi_A20_BA24_1_7711.d",2022-10-24,"Subject4","A20","A","20","BA24","7711","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A20_BA24_1_7711.d",13.8017487699763,1827
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A24_BA4_1_7712.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A24_BA4_1_7712.d","221024_Subject-04_CMs_Subject4_D_Lvepi_A24_BA4_1_7712.d",2022-10-24,"Subject4","A24","A","24","BA4","7712","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_A24_BA4_1_7712.d",13.6349584717944,990
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B19_BB2_1_7720.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B19_BB2_1_7720.d","221024_Subject-04_CMs_Subject4_D_Lvepi_B19_BB2_1_7720.d",2022-10-24,"Subject4","B19","B","19","BB2","7720","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B19_BB2_1_7720.d",13.6770886275822,434
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B22_BB24_1_7722.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B22_BB24_1_7722.d","221024_Subject-04_CMs_Subject4_D_Lvepi_B22_BB24_1_7722.d",2022-10-24,"Subject4","B22","B","22","BB24","7722","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B22_BB24_1_7722.d",13.3315188088808,445
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B24_BB3_1_7723.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B24_BB3_1_7723.d","221024_Subject-04_CMs_Subject4_D_Lvepi_B24_BB3_1_7723.d",2022-10-24,"Subject4","B24","B","24","BB3","7723","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_B24_BB3_1_7723.d",13.4729700107779,1225
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C20_BC22_1_7752.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C20_BC22_1_7752.d","221024_Subject-04_CMs_Subject4_D_Lvepi_C20_BC22_1_7752.d",2022-10-24,"Subject4","C20","C","20","BC22","7752","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C20_BC22_1_7752.d",12.9112365489296,789
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C22_BC23_1_7753.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C22_BC23_1_7753.d","221024_Subject-04_CMs_Subject4_D_Lvepi_C22_BC23_1_7753.d",2022-10-24,"Subject4","C22","C","22","BC23","7753","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C22_BC23_1_7753.d",13.312782999166,822
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C23_BC3_1_7754.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C23_BC3_1_7754.d","221024_Subject-04_CMs_Subject4_D_Lvepi_C23_BC3_1_7754.d",2022-10-24,"Subject4","C23","C","23","BC3","7754","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_C23_BC3_1_7754.d",13.2795065875887,1344
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D19_BD2_1_7768.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D19_BD2_1_7768.d","221024_Subject-04_CMs_Subject4_D_Lvepi_D19_BD2_1_7768.d",2022-10-24,"Subject4","D19","D","19","BD2","7768","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D19_BD2_1_7768.d",13.2186025873857,709
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D20_BD22_1_7770.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D20_BD22_1_7770.d","221024_Subject-04_CMs_Subject4_D_Lvepi_D20_BD22_1_7770.d",2022-10-24,"Subject4","D20","D","20","BD22","7770","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D20_BD22_1_7770.d",13.0475022631348,729
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D22_RH7_1_7771.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D22_RH7_1_7771.d","221024_Subject-04_CMs_Subject4_D_Lvepi_D22_RH7_1_7771.d",2022-10-24,"Subject4","D22","D","22","RH7","7771","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D22_RH7_1_7771.d",13.4072276851372,596
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D23_BD24_1_7774.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D23_BD24_1_7774.d","221024_Subject-04_CMs_Subject4_D_Lvepi_D23_BD24_1_7774.d",2022-10-24,"Subject4","D23","D","23","BD24","7774","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D23_BD24_1_7774.d",13.1813417457075,1335
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D24_BD3_1_7775.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D24_BD3_1_7775.d","221024_Subject-04_CMs_Subject4_D_Lvepi_D24_BD3_1_7775.d",2022-10-24,"Subject4","D24","D","24","BD3","7775","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_D24_BD3_1_7775.d",13.5924920763918,611
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E19_BE2_1_7788.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E19_BE2_1_7788.d","221024_Subject-04_CMs_Subject4_D_Lvepi_E19_BE2_1_7788.d",2022-10-24,"Subject4","E19","E","19","BE2","7788","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E19_BE2_1_7788.d",13.3642986035315,610
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E20_BE22_1_7790.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E20_BE22_1_7790.d","221024_Subject-04_CMs_Subject4_D_Lvepi_E20_BE22_1_7790.d",2022-10-24,"Subject4","E20","E","20","BE22","7790","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E20_BE22_1_7790.d",13.322407035218,631
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E22_BE23_1_7791.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E22_BE23_1_7791.d","221024_Subject-04_CMs_Subject4_D_Lvepi_E22_BE23_1_7791.d",2022-10-24,"Subject4","E22","E","22","BE23","7791","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E22_BE23_1_7791.d",13.8258035116091,513
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E23_BE24_1_7792.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E23_BE24_1_7792.d","221024_Subject-04_CMs_Subject4_D_Lvepi_E23_BE24_1_7792.d",2022-10-24,"Subject4","E23","E","23","BE24","7792","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E23_BE24_1_7792.d",13.1804904493618,612
