"","File.Name","Sample","Date","Subject","PlateWell","PlateRow","PlateColumn","Position","FileIndex","HeartLocation","runCol","MedianIntensity","TotalIds"
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E24_BE3_1_7793.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E24_BE3_1_7793.d","221024_Subject-04_CMs_Subject4_D_Lvepi_E24_BE3_1_7793.d",2022-10-24,"Subject4","E24","E","24","BE3","7793","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_E24_BE3_1_7793.d",13.6034177139735,529
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F20_BF21_1_7826.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F20_BF21_1_7826.d","221024_Subject-04_CMs_Subject4_D_Lvepi_F20_BF21_1_7826.d",2022-10-24,"Subject4","F20","F","20","BF21","7826","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F20_BF21_1_7826.d",13.2880441612554,679
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F21_BF23_1_7827.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F21_BF23_1_7827.d","221024_Subject-04_CMs_Subject4_D_Lvepi_F21_BF23_1_7827.d",2022-10-24,"Subject4","F21","F","21","BF23","7827","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F21_BF23_1_7827.d",13.5414961654921,492
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F23_BF3_1_7828.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F23_BF3_1_7828.d","221024_Subject-04_CMs_Subject4_D_Lvepi_F23_BF3_1_7828.d",2022-10-24,"Subject4","F23","F","23","BF3","7828","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_F23_BF3_1_7828.d",12.887567870129,690
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G20_BG21_1_7837.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G20_BG21_1_7837.d","221024_Subject-04_CMs_Subject4_D_Lvepi_G20_BG21_1_7837.d",2022-10-24,"Subject4","G20","G","20","BG21","7837","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G20_BG21_1_7837.d",14.111583996969,1799
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G21_BG24_1_7838.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G21_BG24_1_7838.d","221024_Subject-04_CMs_Subject4_D_Lvepi_G21_BG24_1_7838.d",2022-10-24,"Subject4","G21","G","21","BG24","7838","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G21_BG24_1_7838.d",13.8769260966292,2102
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G24_BG5_1_7839.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G24_BG5_1_7839.d","221024_Subject-04_CMs_Subject4_D_Lvepi_G24_BG5_1_7839.d",2022-10-24,"Subject4","G24","G","24","BG5","7839","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_G24_BG5_1_7839.d",13.1362253580161,623
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H19_BH2_1_7849.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H19_BH2_1_7849.d","221024_Subject-04_CMs_Subject4_D_Lvepi_H19_BH2_1_7849.d",2022-10-24,"Subject4","H19","H","19","BH2","7849","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H19_BH2_1_7849.d",14.0559908157694,1866
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H20_BH22_1_7851.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H20_BH22_1_7851.d","221024_Subject-04_CMs_Subject4_D_Lvepi_H20_BH22_1_7851.d",2022-10-24,"Subject4","H20","H","20","BH22","7851","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H20_BH22_1_7851.d",13.805939994419,1452
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H22_BH23_1_7852.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H22_BH23_1_7852.d","221024_Subject-04_CMs_Subject4_D_Lvepi_H22_BH23_1_7852.d",2022-10-24,"Subject4","H22","H","22","BH23","7852","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H22_BH23_1_7852.d",13.0173582451493,1079
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H23_RH11_1_7853.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H23_RH11_1_7853.d","221024_Subject-04_CMs_Subject4_D_Lvepi_H23_RH11_1_7853.d",2022-10-24,"Subject4","H23","H","23","RH11","7853","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H23_RH11_1_7853.d",13.8226143935625,1644
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H24_BH3_1_7856.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H24_BH3_1_7856.d","221024_Subject-04_CMs_Subject4_D_Lvepi_H24_BH3_1_7856.d",2022-10-24,"Subject4","H24","H","24","BH3","7856","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_H24_BH3_1_7856.d",13.4827763854725,2510
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I22_BI23_1_7863.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I22_BI23_1_7863.d","221024_Subject-04_CMs_Subject4_D_Lvepi_I22_BI23_1_7863.d",2022-10-24,"Subject4","I22","I","22","BI23","7863","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I22_BI23_1_7863.d",14.1154901854465,1868
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I23_BI24_1_7864.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I23_BI24_1_7864.d","221024_Subject-04_CMs_Subject4_D_Lvepi_I23_BI24_1_7864.d",2022-10-24,"Subject4","I23","I","23","BI24","7864","Lvepi","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvepi_I23_BI24_1_7864.d",13.2707639802102,625
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A12_BA13_1_7702.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A12_BA13_1_7702.d","221024_Subject-04_CMs_Subject4_D_Lvmid_A12_BA13_1_7702.d",2022-10-24,"Subject4","A12","A","12","BA13","7702","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A12_BA13_1_7702.d",13.1937144787121,1388
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A8_BB12_1_7715.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A8_BB12_1_7715.d","221024_Subject-04_CMs_Subject4_D_Lvmid_A8_BB12_1_7715.d",2022-10-24,"Subject4","A8","A","8","BB12","7715","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_A8_BB12_1_7715.d",13.3115070889411,511
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B12_BB13_1_7716.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B12_BB13_1_7716.d","221024_Subject-04_CMs_Subject4_D_Lvmid_B12_BB13_1_7716.d",2022-10-24,"Subject4","B12","B","12","BB13","7716","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B12_BB13_1_7716.d",13.8190015046284,1185
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B7_BB8_1_7728.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B7_BB8_1_7728.d","221024_Subject-04_CMs_Subject4_D_Lvmid_B7_BB8_1_7728.d",2022-10-24,"Subject4","B7","B","7","BB8","7728","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B7_BB8_1_7728.d",13.5462071837659,471
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B8_RB5_1_7729.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B8_RB5_1_7729.d","221024_Subject-04_CMs_Subject4_D_Lvmid_B8_RB5_1_7729.d",2022-10-24,"Subject4","B8","B","8","RB5","7729","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B8_RB5_1_7729.d",13.3534638967878,1161
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_B1_1_7732.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_B1_1_7732.d","221024_Subject-04_CMs_Subject4_D_Lvmid_B9_B1_1_7732.d",2022-10-24,"Subject4","B1","B","1","B1","7732","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_B1_1_7732.d",13.9402860645351,1111
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_BC1_1_7742.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_BC1_1_7742.d","221024_Subject-04_CMs_Subject4_D_Lvmid_B9_BC1_1_7742.d",2022-10-24,"Subject4","B9","B","9","BC1","7742","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_B9_BC1_1_7742.d",12.506334857648,1783
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C10_BC11_1_7744.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C10_BC11_1_7744.d","221024_Subject-04_CMs_Subject4_D_Lvmid_C10_BC11_1_7744.d",2022-10-24,"Subject4","C10","C","10","BC11","7744","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C10_BC11_1_7744.d",13.2657190383378,1962
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C11_BC12_1_7745.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C11_BC12_1_7745.d","221024_Subject-04_CMs_Subject4_D_Lvmid_C11_BC12_1_7745.d",2022-10-24,"Subject4","C11","C","11","BC12","7745","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C11_BC12_1_7745.d",12.4162961382635,827
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C12_BC13_1_7746.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C12_BC13_1_7746.d","221024_Subject-04_CMs_Subject4_D_Lvmid_C12_BC13_1_7746.d",2022-10-24,"Subject4","C12","C","12","BC13","7746","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C12_BC13_1_7746.d",13.448019480441,1948
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C8_BD1_1_7757.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C8_BD1_1_7757.d","221024_Subject-04_CMs_Subject4_D_Lvmid_C8_BD1_1_7757.d",2022-10-24,"Subject4","C8","C","8","BD1","7757","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_C8_BD1_1_7757.d",13.991459842869,1609
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D10_BD11_1_7759.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D10_BD11_1_7759.d","221024_Subject-04_CMs_Subject4_D_Lvmid_D10_BD11_1_7759.d",2022-10-24,"Subject4","D10","D","10","BD11","7759","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D10_BD11_1_7759.d",14.0487763375822,1989
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D11_BD12_1_7760.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D11_BD12_1_7760.d","221024_Subject-04_CMs_Subject4_D_Lvmid_D11_BD12_1_7760.d",2022-10-24,"Subject4","D11","D","11","BD12","7760","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D11_BD12_1_7760.d",13.4238118655329,1734
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D12_BD13_1_7761.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D12_BD13_1_7761.d","221024_Subject-04_CMs_Subject4_D_Lvmid_D12_BD13_1_7761.d",2022-10-24,"Subject4","D12","D","12","BD13","7761","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D12_BD13_1_7761.d",13.8339080046312,1569
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D7_BE1_1_7780.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D7_BE1_1_7780.d","221024_Subject-04_CMs_Subject4_D_Lvmid_D7_BE1_1_7780.d",2022-10-24,"Subject4","D7","D","7","BE1","7780","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_D7_BE1_1_7780.d",13.1657643716158,1793
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F12_BF14_1_7798.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F12_BF14_1_7798.d","221024_Subject-04_CMs_Subject4_D_Lvmid_F12_BF14_1_7798.d",2022-10-24,"Subject4","F12","F","12","BF14","7798","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F12_BF14_1_7798.d",13.7148139264113,1610
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F7_BF8_1_7833.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F7_BF8_1_7833.d","221024_Subject-04_CMs_Subject4_D_Lvmid_F7_BF8_1_7833.d",2022-10-24,"Subject4","F7","F","7","BF8","7833","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F7_BF8_1_7833.d",13.8142854332617,1426
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F8_BG15_1_7834.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F8_BG15_1_7834.d","221024_Subject-04_CMs_Subject4_D_Lvmid_F8_BG15_1_7834.d",2022-10-24,"Subject4","F8","F","8","BG15","7834","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_F8_BG15_1_7834.d",13.3261736747626,1624
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_G7_BH1_1_7842.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_G7_BH1_1_7842.d","221024_Subject-04_CMs_Subject4_D_Lvmid_G7_BH1_1_7842.d",2022-10-24,"Subject4","G7","G","7","BH1","7842","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_G7_BH1_1_7842.d",13.521949806424,1284
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H12_BH13_1_7844.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H12_BH13_1_7844.d","221024_Subject-04_CMs_Subject4_D_Lvmid_H12_BH13_1_7844.d",2022-10-24,"Subject4","H12","H","12","BH13","7844","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H12_BH13_1_7844.d",13.4682676522086,1723
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H8_BI1_1_7860.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H8_BI1_1_7860.d","221024_Subject-04_CMs_Subject4_D_Lvmid_H8_BI1_1_7860.d",2022-10-24,"Subject4","H8","H","8","BI1","7860","Lvmid","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvmid_H8_BI1_1_7860.d",14.0064400448276,4347
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_A1_BA12_1_7701.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_A1_BA12_1_7701.d","221024_Subject-04_CMs_Subject4_D_RV_A1_BA12_1_7701.d",2022-10-24,"Subject4","A1","A","1","BA12","7701","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_A1_BA12_1_7701.d",13.7962728716496,5185
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B2_BB22_1_7721.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B2_BB22_1_7721.d","221024_Subject-04_CMs_Subject4_D_RV_B2_BB22_1_7721.d",2022-10-24,"Subject4","B2","B","2","BB22","7721","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B2_BB22_1_7721.d",13.4294328960093,1319
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B4_BB5_1_7725.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B4_BB5_1_7725.d","221024_Subject-04_CMs_Subject4_D_RV_B4_BB5_1_7725.d",2022-10-24,"Subject4","B4","B","4","BB5","7725","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B4_BB5_1_7725.d",13.5838232048057,1423
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B5_BB6_1_7726.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B5_BB6_1_7726.d","221024_Subject-04_CMs_Subject4_D_RV_B5_BB6_1_7726.d",2022-10-24,"Subject4","B5","B","5","BB6","7726","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B5_BB6_1_7726.d",13.7035683263884,1324
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B6_BB7_1_7727.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B6_BB7_1_7727.d","221024_Subject-04_CMs_Subject4_D_RV_B6_BB7_1_7727.d",2022-10-24,"Subject4","B6","B","6","BB7","7727","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_B6_BB7_1_7727.d",13.6270094214887,1415
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C1_BC10_1_7743.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C1_BC10_1_7743.d","221024_Subject-04_CMs_Subject4_D_RV_C1_BC10_1_7743.d",2022-10-24,"Subject4","C1","C","1","BC10","7743","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C1_BC10_1_7743.d",13.4370823158897,2448
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C3_BC5_1_7755.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C3_BC5_1_7755.d","221024_Subject-04_CMs_Subject4_D_RV_C3_BC5_1_7755.d",2022-10-24,"Subject4","C3","C","3","BC5","7755","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C3_BC5_1_7755.d",14.0287262615962,2425
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C5_BC8_1_7756.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C5_BC8_1_7756.d","221024_Subject-04_CMs_Subject4_D_RV_C5_BC8_1_7756.d",2022-10-24,"Subject4","C5","C","5","BC8","7756","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_C5_BC8_1_7756.d",13.7016204810635,2652
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D1_BD10_1_7758.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D1_BD10_1_7758.d","221024_Subject-04_CMs_Subject4_D_RV_D1_BD10_1_7758.d",2022-10-24,"Subject4","D1","D","1","BD10","7758","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D1_BD10_1_7758.d",12.7032863143445,1056
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D3_BD4_1_7776.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D3_BD4_1_7776.d","221024_Subject-04_CMs_Subject4_D_RV_D3_BD4_1_7776.d",2022-10-24,"Subject4","D3","D","3","BD4","7776","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D3_BD4_1_7776.d",13.5872383969942,2141
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D4_BD5_1_7777.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D4_BD5_1_7777.d","221024_Subject-04_CMs_Subject4_D_RV_D4_BD5_1_7777.d",2022-10-24,"Subject4","D4","D","4","BD5","7777","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D4_BD5_1_7777.d",13.8873443894323,2169
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D5_BD6_1_7778.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D5_BD6_1_7778.d","221024_Subject-04_CMs_Subject4_D_RV_D5_BD6_1_7778.d",2022-10-24,"Subject4","D5","D","5","BD6","7778","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D5_BD6_1_7778.d",13.3511186787595,2001
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D6_BD7_1_7779.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D6_BD7_1_7779.d","221024_Subject-04_CMs_Subject4_D_RV_D6_BD7_1_7779.d",2022-10-24,"Subject4","D6","D","6","BD7","7779","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_D6_BD7_1_7779.d",13.953869049094,1937
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E2_BE20_1_7789.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E2_BE20_1_7789.d","221024_Subject-04_CMs_Subject4_D_RV_E2_BE20_1_7789.d",2022-10-24,"Subject4","E2","E","2","BE20","7789","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E2_BE20_1_7789.d",14.1911594839061,1079
"X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E3_BE4_1_7794.d","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E3_BE4_1_7794.d","221024_Subject-04_CMs_Subject4_D_RV_E3_BE4_1_7794.d",2022-10-24,"Subject4","E3","E","3","BE4","7794","RV","X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_RV_E3_BE4_1_7794.d",12.9333676918681,616
